                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.62081,                0.46714,                  1.094,                0.92028,                0.88756,                0.93267,                0.55699,                 1.3273,                0.67014,                 1.7119,             0.00028713,             0.00028713,             0.00028713
                    115,                 0.6407,                0.47659,                 1.1106,                0.88419,                0.85402,                0.88899,                0.53946,                 1.2896,                0.76614,                 1.6419,             0.00027702,             0.00027702,             0.00027702
                    116,                0.62387,                0.46818,                 1.0915,                0.94469,                0.85334,                0.92228,                0.53928,                 1.2995,                0.69709,                  1.683,             0.00026692,             0.00026692,             0.00026692
                    117,                 0.6236,                0.45785,                 1.0926,                0.94534,                0.85929,                0.92696,                0.53007,                 1.3135,                0.73217,                 1.6704,             0.00025681,             0.00025681,             0.00025681
                    118,                0.61981,                0.46165,                 1.1041,                0.90001,                0.84745,                0.89747,                0.52506,                 1.3843,                0.73165,                 1.7672,             0.00024671,             0.00024671,             0.00024671
                    119,                0.62207,                0.47282,                 1.0926,                0.91022,                0.88361,                0.90944,                0.53113,                 1.3767,                0.70485,                 1.7638,              0.0002366,              0.0002366,              0.0002366
                    120,                0.63625,                0.47777,                 1.1039,                0.90404,                0.90527,                0.90245,                0.53671,                 1.3511,                0.73313,                 1.7168,              0.0002265,              0.0002265,              0.0002265
                    121,                0.61414,                0.46215,                 1.0896,                0.97549,                0.89107,                0.95366,                0.52393,                  1.391,                0.64886,                 1.7869,             0.00021639,             0.00021639,             0.00021639
                    122,                0.59838,                0.45527,                 1.0927,                0.93263,                0.83556,                0.92542,                0.55668,                 1.3782,                0.60865,                 1.8004,             0.00020629,             0.00020629,             0.00020629
                    123,                0.59569,                0.45463,                 1.0802,                0.94473,                 0.8905,                0.91877,                0.55032,                 1.3404,                0.74211,                 1.7831,             0.00019618,             0.00019618,             0.00019618
                    124,                0.60059,                0.44724,                 1.0856,                 0.9331,                0.85061,                0.90929,                0.55457,                 1.3271,                0.73906,                 1.7559,             0.00018608,             0.00018608,             0.00018608
                    125,                0.57884,                0.43858,                 1.0857,                0.93321,                0.82064,                0.90127,                0.54641,                  1.322,                0.72801,                 1.7332,             0.00017597,             0.00017597,             0.00017597
                    126,                0.58594,                0.44032,                 1.0823,                0.89626,                0.87905,                0.91519,                0.55646,                 1.2869,                0.72174,                 1.6663,             0.00016587,             0.00016587,             0.00016587
                    127,                0.58286,                0.42695,                  1.075,                0.97786,                0.80953,                 0.9159,                0.54353,                 1.2966,                0.70302,                  1.704,             0.00015576,             0.00015576,             0.00015576
                    128,                0.55811,                0.43052,                 1.0705,                0.96583,                0.79649,                0.92427,                0.53499,                 1.3597,                0.71632,                  1.765,             0.00014566,             0.00014566,             0.00014566
                    129,                0.58356,                0.43362,                 1.0847,                0.86843,                  0.897,                0.91776,                 0.5497,                 1.3225,                 0.7589,                 1.6994,             0.00013555,             0.00013555,             0.00013555
                    130,                0.56657,                0.42784,                 1.0604,                0.93257,                0.87841,                0.92084,                 0.5702,                 1.3275,                0.66693,                  1.694,             0.00012545,             0.00012545,             0.00012545
                    131,                0.52406,                0.37886,                 1.0684,                0.89376,                0.85926,                0.89647,                0.52119,                 1.4004,                0.66857,                 1.8308,             0.00011534,             0.00011534,             0.00011534
                    132,                0.48911,                0.31608,                 1.0439,                0.91812,                0.86311,                0.92532,                0.52898,                 1.3779,                0.63457,                 1.8249,             0.00010524,             0.00010524,             0.00010524
                    133,                0.50036,                0.32467,                 1.0508,                0.93217,                0.84143,                0.90526,                0.54443,                 1.3334,                0.62964,                 1.7597,             9.5131e-05,             9.5131e-05,             9.5131e-05
                    134,                0.48643,                0.31476,                 1.0431,                0.94643,                 0.8439,                0.92294,                0.54938,                 1.3368,                0.64199,                 1.7558,             8.5026e-05,             8.5026e-05,             8.5026e-05
                    135,                0.46832,                0.29909,                 1.0374,                0.92599,                0.88401,                0.92515,                0.54704,                 1.3389,                0.63111,                 1.7578,              7.492e-05,              7.492e-05,              7.492e-05
                    136,                0.46039,                0.29357,                  1.021,                0.93842,                0.89926,                0.92956,                0.55746,                 1.3411,                0.62787,                 1.7452,             6.4815e-05,             6.4815e-05,             6.4815e-05
                    137,                0.45735,                0.29458,                 1.0191,                0.93393,                0.89926,                 0.9313,                0.55822,                 1.3578,                0.62399,                 1.7811,              5.471e-05,              5.471e-05,              5.471e-05
                    138,                0.45386,                0.29385,                  1.027,                0.92247,                0.87464,                0.93258,                0.56388,                  1.344,                0.61547,                 1.7783,             4.4605e-05,             4.4605e-05,             4.4605e-05
                    139,                0.44874,                0.28895,                 1.0225,                0.89216,                0.86288,                0.92659,                0.56429,                  1.342,                0.63982,                 1.7858,               3.45e-05,               3.45e-05,               3.45e-05
                    140,                0.45434,                0.28989,                 1.0192,                0.89289,                0.86452,                0.92167,                0.56619,                 1.3264,                0.63676,                 1.7753,             2.4395e-05,             2.4395e-05,             2.4395e-05
